algorithm,board_size,obstacle_density,elapsed_time,steps,path_found
GreedyBFS,"(50, 50)",0.25,0.8860049247741699,140,True
GreedyBFS,"(50, 50)",0.25,0.5180933475494385,121,True
GreedyBFS,"(50, 50)",0.25,0.8436777591705322,133,True
GreedyBFS,"(50, 50)",0.25,0.6287543773651123,146,True
GreedyBFS,"(50, 50)",0.25,1.1882407665252686,187,True
GreedyBFS,"(50, 50)",0.25,0.6127042770385742,139,True
GreedyBFS,"(50, 50)",0.25,0.05844449996948242,9,False
GreedyBFS,"(50, 50)",0.25,0.7716109752655029,119,True
GreedyBFS,"(50, 50)",0.25,0.5977120399475098,134,True
GreedyBFS,"(50, 50)",0.25,1.0550565719604492,165,True
GreedyBFS,"(50, 50)",0.25,0.006033897399902344,2,False
GreedyBFS,"(50, 50)",0.25,11.560273170471191,1853,False
GreedyBFS,"(50, 50)",0.25,0.9206812381744385,148,True
GreedyBFS,"(50, 50)",0.25,0.012725114822387695,3,False
GreedyBFS,"(50, 50)",0.25,0.5156552791595459,120,True
GreedyBFS,"(50, 50)",0.25,0.006380319595336914,2,False
GreedyBFS,"(50, 50)",0.25,0.006624937057495117,2,False
GreedyBFS,"(50, 50)",0.25,0.6148042678833008,141,True
GreedyBFS,"(50, 50)",0.25,0.006914377212524414,2,False
GreedyBFS,"(50, 50)",0.25,0.6669976711273193,148,True
GreedyBFS,"(50, 50)",0.25,0.8405654430389404,131,True
GreedyBFS,"(50, 50)",0.25,0.7160074710845947,168,True
GreedyBFS,"(50, 50)",0.25,0.007830381393432617,2,False
GreedyBFS,"(50, 50)",0.25,0.598731279373169,135,True
GreedyBFS,"(50, 50)",0.25,1.166717290878296,185,True
GreedyBFS,"(50, 50)",0.25,0.6945691108703613,166,True
GreedyBFS,"(50, 50)",0.25,0.02184772491455078,4,False
GreedyBFS,"(50, 50)",0.25,0.02798628807067871,6,False
GreedyBFS,"(50, 50)",0.25,11.563950538635254,1862,False
GreedyBFS,"(50, 50)",0.25,0.4855186939239502,115,True
GreedyBFS,"(50, 50)",0.25,1.110447645187378,175,True
GreedyBFS,"(50, 50)",0.25,0.5178117752075195,120,True
GreedyBFS,"(50, 50)",0.25,1.502563238143921,239,True
GreedyBFS,"(50, 50)",0.25,0.9785559177398682,157,True
GreedyBFS,"(50, 50)",0.25,0.8303768634796143,189,True
GreedyBFS,"(50, 50)",0.25,0.03496432304382324,6,False
GreedyBFS,"(50, 50)",0.25,0.6756703853607178,153,True
GreedyBFS,"(50, 50)",0.25,0.022530317306518555,4,False
GreedyBFS,"(50, 50)",0.25,0.5236103534698486,119,True
GreedyBFS,"(50, 50)",0.25,0.7966725826263428,125,True
GreedyBFS,"(50, 50)",0.25,0.8897011280059814,143,True
GreedyBFS,"(50, 50)",0.25,0.5210926532745361,125,True
GreedyBFS,"(50, 50)",0.25,0.9781227111816406,154,True
GreedyBFS,"(50, 50)",0.25,0.7528104782104492,120,True
GreedyBFS,"(50, 50)",0.25,0.8709933757781982,140,True
GreedyBFS,"(50, 50)",0.25,8.006933689117432,1859,False
GreedyBFS,"(50, 50)",0.25,0.8589382171630859,133,True
GreedyBFS,"(50, 50)",0.25,8.080573797225952,1835,False
GreedyBFS,"(50, 50)",0.25,11.477928638458252,1849,False
GreedyBFS,"(50, 50)",0.25,0.5400135517120361,128,True
GreedyBFS,"(50, 50)",0.25,0.8711955547332764,135,True
GreedyBFS,"(50, 50)",0.25,0.006075382232666016,2,False
GreedyBFS,"(50, 50)",0.25,0.8543341159820557,136,True
GreedyBFS,"(50, 50)",0.25,0.04005098342895508,7,False
GreedyBFS,"(50, 50)",0.25,0.8669235706329346,137,True
GreedyBFS,"(50, 50)",0.25,0.9164161682128906,209,True
GreedyBFS,"(50, 50)",0.25,1.022202968597412,161,True
GreedyBFS,"(50, 50)",0.25,0.5479474067687988,128,True
GreedyBFS,"(50, 50)",0.25,0.879986047744751,139,True
GreedyBFS,"(50, 50)",0.25,8.209681987762451,1865,False
GreedyBFS,"(50, 50)",0.25,0.8817405700683594,139,True
GreedyBFS,"(50, 50)",0.25,0.89198899269104,144,True
GreedyBFS,"(50, 50)",0.25,0.7878901958465576,127,True
GreedyBFS,"(50, 50)",0.25,0.03432035446166992,8,False
GreedyBFS,"(50, 50)",0.25,1.0854811668395996,175,True
GreedyBFS,"(50, 50)",0.25,0.8804342746734619,142,True
GreedyBFS,"(50, 50)",0.25,0.9021172523498535,145,True
GreedyBFS,"(50, 50)",0.25,11.588149309158325,1861,False
GreedyBFS,"(50, 50)",0.25,1.356586217880249,213,True
GreedyBFS,"(50, 50)",0.25,11.353108644485474,1845,False
GreedyBFS,"(50, 50)",0.25,0.9781472682952881,158,True
GreedyBFS,"(50, 50)",0.25,1.093078851699829,176,True
GreedyBFS,"(50, 50)",0.25,0.6312956809997559,149,True
GreedyBFS,"(50, 50)",0.25,0.8602311611175537,136,True
GreedyBFS,"(50, 50)",0.25,8.121439695358276,1854,False
GreedyBFS,"(50, 50)",0.25,1.041318416595459,164,True
GreedyBFS,"(50, 50)",0.25,0.7071921825408936,160,True
GreedyBFS,"(50, 50)",0.25,1.1315035820007324,176,True
GreedyBFS,"(50, 50)",0.25,0.7648932933807373,176,True
GreedyBFS,"(50, 50)",0.25,0.013318538665771484,3,False
GreedyBFS,"(50, 50)",0.25,0.5576748847961426,124,True
GreedyBFS,"(50, 50)",0.25,0.8396432399749756,131,True
GreedyBFS,"(50, 50)",0.25,0.6090307235717773,138,True
