algorithm,board_size,elapsed_time,steps,path_found,total_cost
BFS,"(25, 25)",0.9655492305755615,563,True,82.0
BFS,"(25, 25)",0.4362318515777588,250,True,93.0
BFS,"(25, 25)",0.6514735221862793,382,True,104.0
BFS,"(25, 25)",0.6950550079345703,397,True,100.0
BFS,"(25, 25)",0.8339550495147705,486,True,93.0
BFS,"(25, 25)",0.5181374549865723,302,True,91.0
BFS,"(25, 25)",0.6178591251373291,358,True,95.0
BFS,"(25, 25)",0.7161350250244141,401,True,125.0
BFS,"(25, 25)",0.3904075622558594,219,True,87.0
BFS,"(25, 25)",0.532752513885498,311,True,92.0
BFS,"(25, 25)",0.6790904998779297,390,True,114.0
BFS,"(25, 25)",0.4281494617462158,245,True,108.0
BFS,"(25, 25)",0.48222994804382324,281,True,75.0
BFS,"(25, 25)",0.7897915840148926,465,True,117.0
BFS,"(25, 25)",0.7235264778137207,419,True,89.0
BFS,"(25, 25)",0.5990979671478271,345,True,85.0
BFS,"(25, 25)",0.9455833435058594,548,True,88.0
BFS,"(25, 25)",0.6916637420654297,391,True,93.0
BFS,"(25, 25)",0.8558950424194336,504,True,100.0
BFS,"(25, 25)",0.5726504325866699,331,True,94.0
BFS,"(25, 25)",0.7113943099975586,411,True,100.0
BFS,"(25, 25)",0.642674446105957,372,True,113.0
BFS,"(25, 25)",0.8185877799987793,469,True,72.0
BFS,"(25, 25)",0.8883748054504395,517,True,96.0
BFS,"(25, 25)",0.47536683082580566,268,True,72.0
BFS,"(25, 25)",0.7869088649749756,467,True,114.0
BFS,"(25, 25)",0.7235467433929443,419,True,123.0
BFS,"(25, 25)",0.7498965263366699,435,True,87.0
BFS,"(25, 25)",0.7112464904785156,416,True,78.0
BFS,"(25, 25)",0.7903542518615723,457,True,110.0
BFS,"(25, 25)",0.8202633857727051,474,True,76.0
BFS,"(25, 25)",0.7550885677337646,440,True,90.0
BFS,"(25, 25)",0.5937061309814453,350,True,inf
BFS,"(25, 25)",0.7641687393188477,451,True,105.0
BFS,"(25, 25)",0.7365186214447021,427,True,124.0
BFS,"(25, 25)",0.6660938262939453,378,True,97.0
BFS,"(25, 25)",0.6842255592346191,402,True,156.0
BFS,"(25, 25)",0.6111574172973633,356,True,99.0
BFS,"(25, 25)",0.7241795063018799,417,True,110.0
BFS,"(25, 25)",0.6899087429046631,402,True,79.0
BFS,"(25, 25)",0.7550909519195557,443,True,97.0
BFS,"(25, 25)",0.8388636112213135,491,True,79.0
BFS,"(25, 25)",0.625391960144043,356,True,86.0
BFS,"(25, 25)",0.8479328155517578,498,True,105.0
BFS,"(25, 25)",0.6023924350738525,341,True,89.0
BFS,"(25, 25)",0.7745070457458496,444,True,106.0
BFS,"(25, 25)",0.5358946323394775,306,True,128.0
BFS,"(25, 25)",0.762017011642456,454,True,68.0
BFS,"(25, 25)",0.8524978160858154,489,True,88.0
BFS,"(25, 25)",0.7062702178955078,422,True,109.0
DFS,"(25, 25)",0.25516366958618164,131,True,88.0
DFS,"(25, 25)",0.1227421760559082,58,True,139.0
DFS,"(25, 25)",0.1048424243927002,49,True,99.0
DFS,"(25, 25)",0.1024782657623291,49,True,113.0
DFS,"(25, 25)",0.13856172561645508,64,True,119.0
DFS,"(25, 25)",0.10071468353271484,49,True,86.0
DFS,"(25, 25)",0.1520533561706543,79,True,160.0
DFS,"(25, 25)",0.22194433212280273,122,True,110.0
DFS,"(25, 25)",0.11698007583618164,51,True,123.0
